组播测试,#genre#
CCTV-14(高清),udp://239.3.3.14:10001
CCTV-14(高清),http://123.183.78.112:808/hls/14/index.m3u8
CCTV-15(高清),udp://239.3.3.15:10001
CCTV-15(高清),http://123.183.78.112:808/hls/15/index.m3u8
CCTV-16(测试),http://123.183.78.112:808/hls/666/index.m3u8
CCTV-16(测试),udp://239.3.3.666:10001
CCTV-17(高清),udp://239.3.3.93:10001
CCTV-17(高清),http://123.183.78.112:808/hls/93/index.m3u8
保定新闻综合(高清),udp://239.3.3.73:10001
保定新闻综合(高清),http://123.183.78.112:808/hls/73/index.m3u8
保定公共频道,http://123.183.78.112:808/hls/113/index.m3u8
保定公共频道,udp://239.3.3.113:10001
安新电视,http://123.183.78.112:808/hls/65/index.m3u8
安新电视,udp://239.3.3.65:10001
石家庄新闻综合(高清),udp://239.3.3.23:10001
石家庄新闻综合(高清),http://123.183.78.112:808/hls/23/index.m3u8
石家庄娱乐,udp://239.3.3.24:10001
石家庄娱乐,http://123.183.78.112:808/hls/24/index.m3u8
石家庄生活,udp://239.3.3.25:10001
石家庄生活,http://123.183.78.112:808/hls/25/index.m3u8
石家庄都市,udp://239.3.3.26:10001
石家庄都市,http://123.183.78.112:808/hls/26/index.m3u8
湖南卫视(高清),udp://239.3.3.27:10001
湖南卫视(高清),http://123.183.78.112:808/hls/27/index.m3u8
浙江卫视(高清),udp://239.3.3.28:10001
浙江卫视(高清),http://123.183.78.112:808/hls/28/index.m3u8
江苏卫视(高清),udp://239.3.3.29:10001
江苏卫视(高清),http://123.183.78.112:808/hls/29/index.m3u8
安徽卫视(高清),udp://239.3.3.30:10001
安徽卫视(高清),http://123.183.78.112:808/hls/30/index.m3u8
北京卫视(高清),udp://239.3.3.31:10001
北京卫视(高清),http://123.183.78.112:808/hls/31/index.m3u8
北京纪实(高清),udp://239.3.3.86:10001
北京纪实(高清),http://123.183.78.112:808/hls/86/index.m3u8
天津卫视(高清),udp://239.3.3.32:10001
天津卫视(高清),http://123.183.78.112:808/hls/32/index.m3u8
辽宁卫视(高清),udp://239.3.3.33:10001
辽宁卫视(高清),http://123.183.78.112:808/hls/33/index.m3u8
山东卫视(高清),udp://239.3.3.34:10001
山东卫视(高清),http://123.183.78.112:808/hls/34/index.m3u8
云南卫视,udp://239.3.3.35:10001
云南卫视,http://123.183.78.112:808/hls/35/index.m3u8
河南卫视(高清),udp://239.3.3.36:10001
河南卫视(高清),http://123.183.78.112:808/hls/36/index.m3u8
四川卫视,udp://239.3.3.37:10001
四川卫视,http://123.183.78.112:808/hls/37/index.m3u8
江西卫视(高清),udp://239.3.3.38:10001
江西卫视(高清),http://123.183.78.112:808/hls/38/index.m3u8
贵州卫视(高清),udp://239.3.3.39:10001
贵州卫视(高清),http://123.183.78.112:808/hls/39/index.m3u8
